Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Arica y Parinacota,15,Arica,15101,247552.0,88.0,80.0,72.0,65.0,77.0,103.0,105.0,87.0,61.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,278.0,328.0,353.0,358.0,381.0,408.0,406.0,495.0,575.0,655.0,818.0,859.0,981.0,984.0,962.0,861.0,709.0,779.0,775.0,778.0,651.0,643.0,585
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,12.0,7.0,2.0,2.0,6.0,4.0,4.0,1.0,1.0,1.0,3.0,0
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,14.0,26.0,11.0,8.0,2
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,7.0,1.0,1.0,1.0,15.0,17.0,15.0,12.0,7.0,7.0,3.0,1.0,10.0,15.0,9.0,6.0,1.0,2.0,2
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,6.0,8.0,7.0,12.0,10.0,13.0,7.0,6.0,3
Arica y Parinacota,15,Total,,252110.0,88.0,80.0,72.0,65.0,77.0,103.0,105.0,87.0,61.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,279.0,330.0,356.0,366.0,388.0,410.0,407.0,496.0,591.0,681.0,848.0,886.0,1000.0,998.0,974.0,876.0,731.0,815.0,809.0,824.0,671.0,662.0,592.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,8.0,8.0,7.0,15.0,19.0,27.0,38.0,78.0,93.0,94.0,118.0,183.0,246.0,253.0,252.0,297.0,265.0,301.0,235.0,247.0,243.0,239.0,218.0,219.0,205.0,165.0,137.0,119.0,144.0,129.0,128.0,180.0,190.0,195.0,203.0,201.0,222.0,220.0,248.0,200
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,7.0,4.0,3.0,1.0,1.0,8.0,10.0,13.0,7.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,2.0,8.0,12.0,13.0,8.0,2
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,12.0,14.0,27.0,24.0,20.0,15.0,16.0,15.0,13.0,4.0,9.0,12.0,12.0,11.0,3.0,2.0,1.0,2.0,1.0,2.0,2
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,7.0,5.0,7.0,6.0,11.0,9.0,6.0,8.0,5.0,5.0,10.0,12.0,9.0,9.0,15.0,21.0,28.0,28.0,27.0,21.0,18.0,13.0,9.0,6.0,3.0,11.0,12.0,9.0,9.0,10
Tarapaca,01,Iquique,01101,223463.0,11.0,8.0,10.0,10.0,29.0,38.0,39.0,63.0,169.0,206.0,293.0,371.0,419.0,469.0,514.0,532.0,509.0,521.0,474.0,547.0,575.0,548.0,495.0,417.0,455.0,433.0,409.0,344.0,335.0,344.0,399.0,483.0,433.0,380.0,374.0,387.0,373.0,353.0,367.0,299
Tarapaca,01,Pica,01405,5958.0,9.0,17.0,21.0,17.0,13.0,9.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,2.0,7.0,12.0,15.0,14.0,8.0,14.0,15.0,18.0,17.0,14.0,29.0,71.0,69.0,57.0,39.0,23.0,26.0,46.0,48.0,41.0,33.0,40.0,53.0,61.0,57.0,42
Tarapaca,01,Pozo Almonte,01401,17395.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,13.0,19.0,30.0,46.0,44.0,56.0,97.0,115.0,130.0,106.0,64.0,65.0,55.0,66.0,83.0,55.0,53.0,47.0,53.0,140.0,143.0,145.0,82.0,78.0,81.0,73.0,64.0,53
Tarapaca,01,Desconocido Tarapaca,,,,,,,,,,,,,,,,,,,,,,,44.0,40.0,36.0,39.0,40.0,35.0,39.0,38.0,72.0,60.0,68.0,59.0,49.0,62.0,30.0,27.0,29.0,24.0,23.0,22
Tarapaca,01,Total,,382773.0,30.0,35.0,38.0,42.0,61.0,74.0,77.0,145.0,273.0,314.0,425.0,567.0,686.0,749.0,817.0,900.0,849.0,910.0,831.0,943.0,1032.0,991.0,871.0,793.0,827.0,814.0,786.0,657.0,681.0,636.0,705.0,936.0,886.0,834.0,729.0,753.0,784.0,754.0,778.0,630.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,49.0,54.0,62.0,86.0,121.0,140.0,158.0,201.0,235.0,225.0,296.0,315.0,296.0,280.0,239.0,271.0,251.0,307.0,349.0,433.0,526.0,646.0,780.0,759.0,905.0,992.0,1065.0,966.0,825.0,751.0,680.0,654.0,689.0,747.0,890.0,817.0,754.0,661.0,640.0,571
Antofagasta,02,Calama,02201,190336.0,12.0,11.0,10.0,10.0,9.0,25.0,33.0,37.0,32.0,33.0,57.0,76.0,76.0,87.0,98.0,55.0,73.0,92.0,221.0,370.0,746.0,978.0,923.0,876.0,814.0,743.0,726.0,585.0,494.0,399.0,413.0,375.0,313.0,298.0,272.0,295.0,277.0,220.0,207.0,184
Antofagasta,02,Maria Elena,02302,6814.0,1.0,2.0,4.0,6.0,7.0,8.0,24.0,24.0,25.0,21.0,31.0,28.0,25.0,29.0,17.0,11.0,5.0,8.0,6.0,6.0,15.0,21.0,32.0,38.0,30.0,27.0,27.0,17.0,13.0,15.0,12.0,15.0,18.0,12.0,8.0,7.0,8.0,5.0,2.0,2
Antofagasta,02,Mejillones,02102,14776.0,11.0,13.0,14.0,18.0,30.0,38.0,37.0,83.0,79.0,75.0,41.0,43.0,45.0,33.0,17.0,12.0,14.0,13.0,1.0,5.0,6.0,22.0,34.0,44.0,61.0,39.0,28.0,29.0,21.0,18.0,24.0,19.0,26.0,29.0,31.0,29.0,23.0,24.0,32.0,25
Antofagasta,02,Ollague,02202,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,7.0,10.0,7.0,5.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,12.0,20.0,29.0,35.0,42.0,40.0,34.0,39.0,44.0,55.0,52.0,37.0,30.0,35.0,26.0,32.0,25.0,25.0,19.0,24.0,21
Antofagasta,02,Sierra Gorda,02103,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,5.0,7.0,7.0,7.0,5.0,2.0,4.0,4.0,6.0,6.0,6.0,9.0,4.0,10.0,7.0,8.0,4.0,6.0,7.0,3.0,3.0,0.0,1
Antofagasta,02,Taltal,02104,13657.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,12.0,12.0,4.0,8.0,8.0,7.0,6.0,4.0,10.0,15.0,10.0,11.0,11.0,15.0,22.0,27.0,27.0,17.0,16.0,6.0,7.0,16.0,16.0,17.0,11.0,20.0,17.0,13
Antofagasta,02,Tocopilla,02301,28079.0,1.0,3.0,8.0,4.0,1.0,0.0,1.0,2.0,2.0,3.0,6.0,8.0,6.0,6.0,5.0,2.0,3.0,3.0,5.0,7.0,15.0,28.0,42.0,41.0,74.0,58.0,49.0,36.0,25.0,16.0,22.0,17.0,8.0,11.0,12.0,9.0,13.0,12.0,16.0,24
Antofagasta,02,Desconocido Antofagasta,,,,,,,,,,,,,,,,,,,,,,,50.0,103.0,63.0,56.0,78.0,56.0,57.0,61.0,67.0,60.0,46.0,45.0,47.0,41.0,36.0,41.0,41.0,35.0,36.0,17
Antofagasta,02,Total,,691854.0,78.0,88.0,103.0,129.0,172.0,211.0,253.0,348.0,376.0,360.0,444.0,482.0,465.0,452.0,384.0,363.0,355.0,436.0,597.0,846.0,1397.0,1849.0,1925.0,1872.0,2019.0,1975.0,2023.0,1778.0,1546.0,1339.0,1265.0,1168.0,1151.0,1187.0,1306.0,1250.0,1155.0,999.0,974.0,858.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,20.0,18.0,7
Atacama,03,Caldera,03102,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,7.0,7.0,8.0,19.0,23.0,13.0,13.0,11.0,15.0,22.0,24.0,21.0,19.0,25.0,39.0,62.0,77.0,58.0,61.0,52
Atacama,03,Chanaral,03201,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,15.0,12.0,7.0,3.0,3.0,6.0,13.0,9.0,5.0,9.0,11.0,9.0,7.0,12.0,19.0,18.0,17.0,17.0,7
Atacama,03,Copiapo,03101,171766.0,5.0,5.0,5.0,4.0,0.0,0.0,11.0,26.0,32.0,43.0,36.0,33.0,34.0,25.0,32.0,46.0,55.0,89.0,111.0,120.0,158.0,158.0,196.0,201.0,213.0,213.0,275.0,240.0,264.0,309.0,419.0,581.0,673.0,685.0,841.0,787.0,735.0,515.0,478.0,358
Atacama,03,Diego de Almagro,03202,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,8.0,5.0,4.0,2.0,3.0,7.0,13.0,6.0,7.0,7.0,5.0,14.0,14.0,10.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,12.0,31.0,51.0,49.0,38
Atacama,03,Freirina,03303,7681.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,12.0,8.0,14.0,19.0,17.0,28.0,23.0,16.0,4.0,10.0,8.0,10.0,15.0,27.0,35.0,35.0,29.0,21
Atacama,03,Huasco,03304,11264.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,6.0,7.0,6.0,3.0,2.0,8.0,11.0,15.0,20
Atacama,03,Tierra Amarilla,03103,14312.0,4.0,4.0,4.0,2.0,0.0,1.0,2.0,4.0,2.0,12.0,13.0,10.0,5.0,0.0,1.0,1.0,2.0,3.0,6.0,10.0,12.0,21.0,17.0,13.0,8.0,17.0,33.0,28.0,32.0,25.0,41.0,47.0,62.0,63.0,71.0,59.0,59.0,46.0,43.0,22
Atacama,03,Vallenar,03301,57009.0,0.0,0.0,0.0,0.0,7.0,12.0,12.0,14.0,13.0,19.0,15.0,13.0,5.0,5.0,5.0,10.0,16.0,27.0,27.0,33.0,51.0,76.0,80.0,97.0,93.0,103.0,107.0,72.0,74.0,63.0,48.0,40.0,47.0,33.0,49.0,44.0,68.0,74.0,80.0,80
Atacama,03,Desconocido Atacama,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,9.0,25.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,13.0,3.0,4.0,4
Atacama,03,Total,,314709.0,9.0,9.0,9.0,7.0,7.0,14.0,26.0,47.0,50.0,80.0,68.0,60.0,49.0,36.0,49.0,65.0,84.0,131.0,162.0,186.0,259.0,299.0,347.0,382.0,369.0,391.0,472.0,408.0,425.0,445.0,555.0,724.0,829.0,834.0,1034.0,1018.0,1062.0,830.0,794.0,609.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0,2.0,0.0,4.0,10.0,8.0,8.0,3.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,11.0,15.0,18
Coquimbo,04,Canela,04202,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,7.0,8.0,6.0,4.0,2.0,0.0,2.0,5.0,2.0,2.0,3.0,2.0,9.0,14.0,20.0,22.0,28
Coquimbo,04,Combarbala,04302,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,8.0,4.0,1.0,8.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,4.0,2.0,3.0,9.0,12.0,17
Coquimbo,04,Coquimbo,04102,256735.0,1.0,2.0,0.0,2.0,3.0,4.0,6.0,8.0,9.0,11.0,14.0,17.0,11.0,9.0,17.0,16.0,55.0,95.0,102.0,127.0,177.0,190.0,235.0,223.0,248.0,278.0,310.0,325.0,357.0,377.0,434.0,432.0,414.0,389.0,435.0,419.0,417.0,418.0,473.0,482
Coquimbo,04,Illapel,04201,32801.0,13.0,12.0,10.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,20.0,20.0,10.0,21.0,27.0,25.0,42.0,46.0,85.0,69.0,53.0,57.0,22.0,10.0,28.0,33.0,39.0,43.0,28.0,20.0,27.0,42.0,36
Coquimbo,04,La Higuera,04104,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,7.0,5.0,6.0,10.0,21.0,28.0,23.0,19.0,21.0,28.0,26.0,16.0,6.0,3.0,5
Coquimbo,04,La Serena,04101,249656.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,9.0,12.0,17.0,26.0,28.0,41.0,35.0,38.0,60.0,44.0,66.0,93.0,116.0,175.0,196.0,238.0,198.0,242.0,281.0,281.0,344.0,377.0,329.0,366.0,398.0,413.0,405.0,427.0,381.0,308.0,268.0,275.0,254
Coquimbo,04,Los Vilos,04203,23374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,7.0,8.0,17.0,27.0,28.0,18.0,11.0,9.0,6.0,6.0,23.0,26.0,22.0,23.0,14.0,29.0,31.0,29.0,35.0,39
Coquimbo,04,Monte Patria,04303,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,13.0,9.0,20.0,17.0,14.0,17.0,24.0,40.0,46.0,33.0,36.0,37.0,32.0,28.0,22.0,24.0,23.0,16.0,12.0,17.0,21.0,24.0,29.0,36.0,40.0,53.0,61
Coquimbo,04,Ovalle,04301,121269.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,13.0,20.0,27.0,24.0,23.0,26.0,50.0,55.0,101.0,108.0,125.0,203.0,201.0,180.0,160.0,144.0,108.0,122.0,93.0,85.0,79.0,63.0,87.0,89.0,115.0,131.0,167.0,248.0,237.0,296.0,301
Coquimbo,04,Paiguano,04105,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2
Coquimbo,04,Punitaqui,04304,12165.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,1.0,0.0,0.0,2.0,3.0,5.0,11.0,10.0,3.0,7.0,7.0,9.0,10.0,7.0,11.0,12.0,10.0,18.0,18.0,17.0,9.0,5.0,5.0,5.0,15.0,15.0,21.0,26.0,24
Coquimbo,04,Rio Hurtado,04305,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,5.0,3.0,1.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,10.0,6.0,3.0,1
Coquimbo,04,Salamanca,04204,29110.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,6.0,7.0,16.0,15.0,7.0,7.0,4.0,4.0,3.0,3.0,7.0,9.0,8.0,14.0,8.0,31.0,37.0,36.0,30.0,16.0,5.0,11.0,16.0,16.0,11
Coquimbo,04,Vicuna,04106,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,14.0,12.0,15.0,44.0,43.0,32.0,12.0,11.0,14.0,21.0,14.0,19.0,10.0,18.0,17
Coquimbo,04,Desconocido Coquimbo,,,,,,,,,,,,,,,,,,,,,,,73.0,84.0,54.0,83.0,63.0,59.0,52.0,30.0,33.0,35.0,23.0,15.0,13.0,12.0,9.0,11.0,11.0,12.0,6.0,4
Coquimbo,04,Total,,836096.0,19.0,19.0,14.0,14.0,9.0,11.0,11.0,26.0,38.0,57.0,76.0,83.0,96.0,89.0,102.0,174.0,210.0,348.0,390.0,432.0,730.0,784.0,821.0,801.0,844.0,915.0,923.0,922.0,1035.0,971.0,1055.0,1090.0,1083.0,1091.0,1169.0,1146.0,1165.0,1130.0,1299.0,1300.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,9.0,13.0,7.0,5.0,8.0,6.0,12.0,17.0,18.0,19.0,10.0,10.0,8.0,6.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,14
Valparaiso,05,Cabildo,05402,20663.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,9.0,7.0,4.0,24.0,39.0,55.0,46.0,47.0,29.0,32.0,44.0,27.0,16.0,12.0,11.0,5.0,5.0,4.0,10.0,15.0,19.0,25.0,24
Valparaiso,05,Calera,05502,53591.0,1.0,3.0,5.0,6.0,9.0,9.0,3.0,2.0,0.0,3.0,5.0,6.0,13.0,12.0,12.0,16.0,19.0,21.0,33.0,42.0,56.0,81.0,90.0,96.0,97.0,101.0,109.0,117.0,94.0,112.0,122.0,95.0,82.0,85.0,111.0,132.0,149.0,111.0,91.0,87
Valparaiso,05,Calle Larga,05302,16482.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,9.0,10.0,20.0,17.0,18.0,29.0,23.0,20.0,23.0,33.0,36.0,25.0,27.0,34.0,31.0,22.0,17.0,4.0,9.0,9.0,11.0,22.0,19.0,20.0,34.0,33.0,24.0,5
Valparaiso,05,Cartagena,05603,25357.0,2.0,2.0,0.0,0.0,4.0,4.0,6.0,4.0,6.0,5.0,8.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,9.0,15.0,17.0,26.0,28.0,20.0,15.0,15.0,15.0,15.0,12.0,12.0,10.0,13.0,15.0,8.0,9.0,9.0,11.0,10.0,17
Valparaiso,05,Casablanca,05102,29170.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,9.0,10.0,10.0,7.0,5.0,8.0,13.0,21.0,20.0,31.0,20.0,39.0,32.0,31.0,18.0,16.0,16.0,13.0,19.0,27.0,23.0,29.0,57.0,72.0,81.0,81.0,51.0,41.0,21
Valparaiso,05,Catemu,05702,15213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,8.0,15.0,14.0,17.0,19.0,8.0,15.0,15.0,19.0,14.0,10.0,14.0,14.0,10.0,14.0,21.0,24.0,32.0,34.0,29.0,27.0,29.0,26.0,33
