Grupo de edad,Sexo,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
00 - 04 años,M,4,5,5,5,5,5,6,7,7,8,10,9,11,12,18,22,30,37,39,38,41,46,49,52,61,65,66,75,83,88,93,100,106,111,124,157,177,201,233,277,334,468,543,725,866,1028,1121,1274,1378,1535,1651,2058,2302,2565,2673,2848,3022,3132,3240,3392,3473,3564,3651,3792,3917,4042,4133,4244,4337,4461
05 - 09 años,M,2,2,2,4,4,4,4,7,7,9,10,11,13,14,17,18,20,27,27,27,29,32,35,38,42,44,45,52,58,61,66,71,80,81,89,115,126,143,173,194,244,347,410,540,631,742,820,932,1009,1104,1200,1573,1772,1981,2072,2210,2374,2489,2604,2733,2805,2887,2966,3105,3220,3320,3400,3495,3582,3705
10 - 14 años,M,7,8,8,10,10,10,10,12,12,13,16,21,23,23,31,34,37,40,46,51,53,57,65,71,81,86,90,96,101,105,108,114,119,125,133,159,173,197,228,247,294,412,490,612,714,840,948,1078,1176,1315,1420,1851,2054,2307,2367,2517,2731,2860,2979,3157,3224,3295,3361,3512,3623,3779,3884,3998,4089,4215
15 - 19 años,M,8,9,13,16,17,18,22,26,27,34,37,42,50,52,56,60,65,69,73,77,79,86,96,103,109,113,116,118,126,136,139,153,164,175,185,222,243,279,324,370,453,626,743,964,1133,1358,1552,1776,1976,2237,2455,3286,3640,4088,4235,4547,4837,5016,5219,5467,5610,5743,5841,6059,6230,6396,6537,6706,6879,7046
20 - 24 años,M,25,32,35,46,52,58,64,72,84,99,118,125,138,145,175,192,209,235,243,252,274,290,309,327,343,353,368,386,399,419,436,452,473,492,523,640,720,809,907,1045,1219,1583,1864,2487,2967,3644,4255,4908,5531,6381,7089,9355,10344,11420,11824,12487,13089,13505,13911,14493,14735,15055,15259,15711,16041,16431,16683,16966,17222,17551
25 - 29 años,M,61,75,87,100,107,116,128,147,154,187,222,236,252,268,312,332,366,389,409,434,457,486,519,558,577,596,613,635,672,715,745,790,823,855,892,1102,1232,1390,1564,1747,2058,2692,3118,4211,4996,6131,7069,8170,9264,10740,11878,15283,16776,18389,19034,20041,20984,21603,22215,23090,23482,23905,24255,24871,25323,25831,26192,26639,27031,27518
30 - 34 años,M,88,106,115,137,139,149,170,188,199,226,251,274,295,310,353,372,405,431,440,469,494,526,552,578,608,625,646,669,693,736,763,803,834,857,910,1101,1201,1376,1553,1807,2102,2820,3258,4409,5229,6393,7309,8491,9614,11057,12240,15456,17023,18717,19378,20423,21431,22065,22712,23627,24063,24505,24845,25428,25881,26389,26762,27182,27543,28018
35 - 39 años,M,72,86,96,119,133,142,158,174,185,213,234,251,263,276,324,340,372,384,399,423,438,461,494,520,543,567,584,604,632,656,675,707,735,755,788,950,1032,1168,1337,1506,1766,2325,2697,3590,4361,5264,6016,7034,8000,9147,10176,12873,14139,15565,16139,16979,17815,18292,18754,19530,19819,20206,20473,20929,21290,21690,21985,22299,22568,22901
40 - 44 años,M,62,71,82,97,112,125,141,157,164,188,202,220,234,246,284,308,327,338,358,387,393,415,437,455,467,484,502,524,550,575,587,618,637,662,696,830,895,991,1125,1272,1481,1947,2259,2963,3598,4336,5006,5810,6615,7586,8427,10562,11641,12870,13351,14126,14831,15269,15730,16399,16655,16984,17231,17619,17946,18286,18531,18845,19095,19422
45 - 49 años,M,47,55,69,86,95,108,125,139,151,171,192,206,221,234,274,289,303,326,342,357,363,386,407,432,446,461,481,489,506,535,559,580,596,609,632,769,839,923,1013,1177,1357,1791,2101,2845,3405,4143,4790,5583,6348,7305,8146,10289,11327,12469,12923,13692,14412,14857,15297,15952,16245,16603,16846,17240,17550,17929,18166,18439,18692,18969
50 - 54 años,M,28,45,53,72,74,83,95,117,124,142,158,170,180,190,220,234,259,270,284,308,323,337,363,376,393,403,416,427,450,476,485,514,538,549,566,678,733,840,951,1082,1242,1638,1918,2643,3157,3837,4458,5240,5980,6926,7772,9839,10867,11944,12376,13105,13736,14132,14529,15162,15450,15790,16047,16388,16692,17037,17255,17532,17766,18064
55 - 59 años,M,30,34,44,58,69,76,86,107,116,130,139,148,159,170,197,216,232,245,258,268,275,295,319,336,356,362,375,387,405,424,441,460,479,493,516,619,677,746,841,956,1115,1460,1710,2292,2775,3472,4083,4761,5436,6342,7244,9217,10188,11169,11605,12326,12947,13291,13650,14247,14505,14816,15071,15420,15706,16016,16235,16478,16700,16996
60 - 64 años,M,18,26,31,39,52,56,65,78,83,91,107,110,115,126,145,155,171,182,190,201,214,224,239,258,270,274,282,290,305,314,327,337,346,359,377,434,480,550,621,716,840,1090,1305,1748,2079,2610,3053,3580,4084,4786,5378,6764,7494,8304,8618,9128,9647,9925,10193,10668,10858,11111,11297,11553,11746,11975,12163,12373,12558,12771
65 - 69 años,M,14,18,23,27,34,38,45,50,55,63,70,75,82,91,101,110,119,125,130,135,144,151,160,172,179,182,193,200,211,226,234,241,248,256,268,319,342,376,412,468,530,663,772,1036,1239,1564,1829,2162,2481,2924,3296,4180,4657,5138,5367,5719,6038,6244,6451,6751,6878,7038,7142,7298,7427,7599,7712,7851,7973,8118
70 - 74 años,M,16,21,23,26,27,30,31,41,43,48,57,61,67,73,86,92,100,106,108,112,118,127,132,140,152,157,159,161,165,168,171,174,178,182,189,210,225,241,267,296,355,445,534,711,856,1082,1316,1553,1776,2086,2353,2948,3232,3591,3764,3995,4228,4367,4515,4742,4847,4978,5059,5177,5286,5410,5504,5598,5681,5792
75 - 79 años,M,8,8,9,12,15,18,19,25,27,35,43,46,48,50,60,66,70,74,77,80,81,88,93,99,103,108,115,120,127,131,133,140,143,144,154,169,175,194,208,225,255,321,371,484,589,757,875,1035,1200,1418,1608,2022,2248,2473,2582,2735,2911,2987,3072,3243,3304,3382,3438,3528,3598,3686,3760,3821,3894,3970
80 y más años,M,6,9,9,13,14,15,18,22,25,27,31,37,40,46,54,59,65,74,78,80,84,92,97,101,105,111,116,116,124,127,129,137,145,156,170,196,207,229,245,269,304,382,430,558,681,844,1001,1189,1372,1659,1868,2334,2613,2904,3028,3240,3445,3581,3718,3919,4024,4124,4191,4270,4360,4458,4548,4629,4712,4819
00 - 04 años,F,6,7,7,9,10,10,12,12,12,13,13,13,15,16,21,27,30,32,36,39,41,46,55,60,65,69,71,82,85,92,99,107,110,117,123,156,179,199,241,275,321,440,522,686,772,933,1039,1182,1246,1380,1477,1903,2095,2304,2393,2580,2772,2879,2990,3141,3198,3287,3349,3489,3571,3702,3794,3895,3986,4115
05 - 09 años,F,4,5,5,6,9,9,11,12,12,15,15,16,16,18,23,30,31,33,35,37,38,40,44,48,53,55,59,67,73,76,77,81,89,95,95,123,132,148,171,194,231,333,408,537,603,709,788,883,948,1050,1124,1483,1657,1868,1953,2087,2240,2353,2450,2580,2631,2705,2787,2919,3030,3165,3255,3349,3456,3576
10 - 14 años,F,2,3,4,6,6,9,12,13,15,17,20,20,23,25,34,36,39,42,44,48,48,50,54,57,62,67,71,79,86,89,97,104,113,117,128,155,169,197,226,255,300,403,451,587,690,825,923,1051,1137,1284,1383,1827,2060,2346,2453,2625,2815,2937,3090,3237,3329,3411,3475,3635,3752,3901,4008,4121,4235,4376
15 - 19 años,F,12,14,16,17,20,25,29,32,35,43,48,52,56,64,78,85,89,99,104,108,113,121,131,136,142,152,159,167,178,190,199,209,224,230,239,279,311,349,386,432,490,659,781,1016,1228,1484,1754,2001,2185,2480,2715,3718,4117,4627,4834,5188,5509,5734,5947,6217,6342,6489,6604,6883,7070,7316,7467,7658,7838,8049
20 - 24 años,F,43,50,54,60,66,66,77,93,101,119,130,138,144,150,177,205,217,230,239,253,264,284,297,316,339,356,374,391,404,426,444,475,496,512,537,652,706,783,876,979,1155,1483,1735,2319,2821,3454,4005,4684,5289,6131,6852,9144,10152,11208,11638,12323,12980,13388,13840,14441,14719,14990,15236,15667,16009,16405,16692,17027,17356,17770
25 - 29 años,F,65,77,91,109,118,131,151,172,182,222,247,266,281,298,344,372,403,432,458,477,494,518,543,574,599,622,660,696,725,750,781,805,838,869,915,1062,1138,1271,1428,1615,1854,2503,2956,3931,4645,5731,6687,7689,8710,10131,11231,14731,16213,17766,18388,19455,20400,21027,21659,22586,22973,23413,23734,24349,24810,25340,25739,26188,26628,27183
30 - 34 años,F,80,98,113,131,144,160,179,205,221,254,267,281,297,309,357,378,413,440,470,494,515,550,575,603,635,659,682,707,731,756,776,816,840,864,901,1064,1140,1255,1392,1539,1773,2328,2691,3710,4383,5399,6293,7348,8336,9643,10729,13729,15087,16546,17197,18140,19130,19698,20193,21054,21405,21813,22140,22679,23118,23660,23985,24413,24821,25301
35 - 39 años,F,79,95,103,115,124,129,149,163,181,206,228,252,263,277,316,334,358,382,392,419,428,459,488,514,552,570,596,610,636,656,680,708,728,751,776,904,957,1030,1144,1268,1453,1884,2163,2924,3551,4311,5000,5866,6646,7682,8522,11028,12097,13271,13770,14520,15286,15724,16156,16818,17099,17424,17669,18125,18468,18873,19115,19507,19832,20223
40 - 44 años,F,63,82,90,95,108,113,125,154,160,180,194,209,217,232,272,290,314,329,342,369,387,414,446,472,493,513,523,533,548,568,585,611,626,641,664,762,819,907,1005,1119,1247,1597,1859,2440,2984,3574,4170,4844,5466,6309,7062,9132,10081,11115,11528,12174,12823,13199,13607,14221,14441,14745,14980,15352,15636,16024,16256,16560,16813,17122
45 - 49 años,F,48,60,69,79,92,105,120,134,141,156,174,196,204,214,249,266,283,304,319,338,345,367,394,422,449,468,473,483,498,516,530,548,562,580,605,677,734,804,886,988,1134,1486,1734,2426,2951,3612,4184,4955,5666,6567,7373,9685,10661,11658,12108,12801,13459,13864,14264,14830,15114,15419,15642,16037,16324,16709,16941,17246,17474,17780
50 - 54 años,F,33,46,54,67,71,79,89,110,119,139,154,172,180,194,237,251,271,282,294,315,317,336,357,375,392,406,416,433,450,466,484,505,520,529,548,645,683,757,820,902,1012,1340,1553,2170,2619,3276,3822,4492,5148,6028,6858,8966,9926,10969,11391,12066,12709,13121,13497,14112,14359,14685,14900,15247,15547,15897,16116,16405,16663,16986
55 - 59 años,F,28,37,39,54,58,66,78,89,94,110,124,130,143,153,185,202,213,225,232,243,258,283,302,321,336,351,365,373,388,403,419,434,454,465,488,565,616,680,749,828,945,1236,1443,1973,2381,2940,3454,4062,4661,5460,6175,8106,8959,9876,10279,10934,11536,11880,12269,12800,13016,13289,13520,13828,14127,14460,14670,14980,15236,15543
60 - 64 años,F,27,34,38,47,50,53,61,70,78,90,99,105,113,124,138,148,155,166,175,188,199,211,220,234,245,251,257,265,273,287,292,297,304,317,328,365,394,439,480,555,650,867,1002,1371,1616,2025,2407,2815,3221,3799,4299,5626,6232,6861,7149,7632,8096,8376,8621,9062,9213,9423,9600,9865,10066,10299,10466,10674,10856,11058
65 - 69 años,F,10,13,20,25,29,35,38,45,48,52,60,64,67,74,84,89,99,111,116,119,129,140,147,155,160,166,169,178,182,190,195,208,217,224,233,269,287,315,351,399,450,570,669,906,1087,1316,1547,1821,2094,2502,2807,3680,4074,4506,4704,5003,5308,5502,5706,6015,6133,6287,6394,6544,6676,6828,6964,7128,7268,7420
70 - 74 años,F,7,11,13,16,20,22,25,32,33,43,50,56,58,60,69,74,82,87,94,95,100,110,118,127,133,137,141,143,145,149,153,157,169,173,187,220,229,256,274,300,340,446,509,672,785,965,1178,1406,1601,1908,2155,2813,3103,3428,3558,3772,4040,4173,4316,4533,4624,4738,4822,4943,5051,5176,5264,5361,5454,5552
75 - 79 años,F,7,8,11,13,13,14,17,22,24,29,35,39,41,42,48,52,57,61,64,64,67,71,79,85,92,95,100,104,107,113,115,121,126,128,134,147,158,186,203,231,258,329,371,505,592,744,880,1039,1194,1415,1621,2122,2339,2575,2690,2858,3050,3153,3255,3452,3539,3630,3707,3800,3883,3984,4061,4142,4206,4303
80 y más años,F,2,2,3,7,9,11,13,17,19,26,30,31,37,41,58,72,88,95,101,107,113,117,124,137,148,160,168,172,180,193,197,208,224,231,249,293,304,338,377,419,485,597,678,857,1011,1291,1525,1781,2054,2523,2846,3769,4191,4640,4819,5080,5441,5631,5837,6171,6324,6482,6583,6742,6858,7015,7122,7269,7375,7531
