Grupo de edad,fecha,numero
< 1 años,2020-04-13,0.0
1  4 años,2020-04-13,0.0
5  14 años,2020-04-13,2.0
15  44 años,2020-04-13,124.0
45  64 años,2020-04-13,179.0
65 y más años,2020-04-13,144.0
00  5 años,2020-04-13,
5  17 años,2020-04-13,
18  49 años,2020-04-13,
50  59 años,2020-04-13,
60  69 años,2020-04-13,
70  79 años,2020-04-13,
80 y más años,2020-04-13,
< 1 años,2020-04-14,0.0
1  4 años,2020-04-14,0.0
5  14 años,2020-04-14,2.0
15  44 años,2020-04-14,143.0
45  64 años,2020-04-14,196.0
65 y más años,2020-04-14,156.0
00  5 años,2020-04-14,
5  17 años,2020-04-14,
18  49 años,2020-04-14,
50  59 años,2020-04-14,
60  69 años,2020-04-14,
70  79 años,2020-04-14,
80 y más años,2020-04-14,
< 1 años,2020-04-15,0.0
1  4 años,2020-04-15,0.0
5  14 años,2020-04-15,2.0
15  44 años,2020-04-15,164.0
45  64 años,2020-04-15,234.0
65 y más años,2020-04-15,162.0
00  5 años,2020-04-15,
5  17 años,2020-04-15,
18  49 años,2020-04-15,
50  59 años,2020-04-15,
60  69 años,2020-04-15,
70  79 años,2020-04-15,
80 y más años,2020-04-15,
< 1 años,2020-04-16,1.0
1  4 años,2020-04-16,0.0
5  14 años,2020-04-16,2.0
15  44 años,2020-04-16,183.0
45  64 años,2020-04-16,270.0
65 y más años,2020-04-16,187.0
00  5 años,2020-04-16,
5  17 años,2020-04-16,
18  49 años,2020-04-16,
50  59 años,2020-04-16,
60  69 años,2020-04-16,
70  79 años,2020-04-16,
80 y más años,2020-04-16,
< 1 años,2020-04-17,2.0
1  4 años,2020-04-17,0.0
5  14 años,2020-04-17,2.0
15  44 años,2020-04-17,187.0
45  64 años,2020-04-17,284.0
65 y más años,2020-04-17,196.0
00  5 años,2020-04-17,
5  17 años,2020-04-17,
18  49 años,2020-04-17,
50  59 años,2020-04-17,
60  69 años,2020-04-17,
70  79 años,2020-04-17,
80 y más años,2020-04-17,
< 1 años,2020-04-18,2.0
1  4 años,2020-04-18,0.0
5  14 años,2020-04-18,2.0
15  44 años,2020-04-18,190.0
45  64 años,2020-04-18,290.0
65 y más años,2020-04-18,197.0
00  5 años,2020-04-18,
5  17 años,2020-04-18,
18  49 años,2020-04-18,
50  59 años,2020-04-18,
60  69 años,2020-04-18,
70  79 años,2020-04-18,
80 y más años,2020-04-18,
< 1 años,2020-04-19,2.0
1  4 años,2020-04-19,0.0
5  14 años,2020-04-19,2.0
15  44 años,2020-04-19,193.0
45  64 años,2020-04-19,292.0
65 y más años,2020-04-19,200.0
00  5 años,2020-04-19,
5  17 años,2020-04-19,
18  49 años,2020-04-19,
50  59 años,2020-04-19,
60  69 años,2020-04-19,
70  79 años,2020-04-19,
80 y más años,2020-04-19,
< 1 años,2020-04-20,2.0
1  4 años,2020-04-20,0.0
5  14 años,2020-04-20,2.0
15  44 años,2020-04-20,196.0
45  64 años,2020-04-20,292.0
65 y más años,2020-04-20,216.0
00  5 años,2020-04-20,
5  17 años,2020-04-20,
18  49 años,2020-04-20,
50  59 años,2020-04-20,
60  69 años,2020-04-20,
70  79 años,2020-04-20,
80 y más años,2020-04-20,
< 1 años,2020-04-22,
1  4 años,2020-04-22,
5  14 años,2020-04-22,
15  44 años,2020-04-22,
45  64 años,2020-04-22,
65 y más años,2020-04-22,
00  5 años,2020-04-22,3.0
5  17 años,2020-04-22,2.0
18  49 años,2020-04-22,253.0
50  59 años,2020-04-22,168.0
60  69 años,2020-04-22,159.0
70  79 años,2020-04-22,114.0
80 y más años,2020-04-22,36.0
< 1 años,2020-04-23,
1  4 años,2020-04-23,
5  14 años,2020-04-23,
15  44 años,2020-04-23,
45  64 años,2020-04-23,
65 y más años,2020-04-23,
00  5 años,2020-04-23,4.0
5  17 años,2020-04-23,2.0
18  49 años,2020-04-23,260.0
50  59 años,2020-04-23,172.0
60  69 años,2020-04-23,161.0
70  79 años,2020-04-23,114.0
80 y más años,2020-04-23,40.0
< 1 años,2020-04-24,
1  4 años,2020-04-24,
5  14 años,2020-04-24,
15  44 años,2020-04-24,
45  64 años,2020-04-24,
65 y más años,2020-04-24,
00  5 años,2020-04-24,5.0
5  17 años,2020-04-24,2.0
18  49 años,2020-04-24,261.0
50  59 años,2020-04-24,173.0
60  69 años,2020-04-24,163.0
70  79 años,2020-04-24,114.0
80 y más años,2020-04-24,40.0
< 1 años,2020-04-25,
1  4 años,2020-04-25,
5  14 años,2020-04-25,
15  44 años,2020-04-25,
45  64 años,2020-04-25,
65 y más años,2020-04-25,
00  5 años,2020-04-25,5.0
5  17 años,2020-04-25,2.0
18  49 años,2020-04-25,264.0
50  59 años,2020-04-25,175.0
60  69 años,2020-04-25,167.0
70  79 años,2020-04-25,115.0
80 y más años,2020-04-25,44.0
< 1 años,2020-04-26,
1  4 años,2020-04-26,
5  14 años,2020-04-26,
15  44 años,2020-04-26,
45  64 años,2020-04-26,
65 y más años,2020-04-26,
00  5 años,2020-04-26,6.0
5  17 años,2020-04-26,2.0
18  49 años,2020-04-26,264.0
50  59 años,2020-04-26,179.0
60  69 años,2020-04-26,167.0
70  79 años,2020-04-26,117.0
80 y más años,2020-04-26,43.0
< 1 años,2020-04-27,
1  4 años,2020-04-27,
5  14 años,2020-04-27,
15  44 años,2020-04-27,
45  64 años,2020-04-27,
65 y más años,2020-04-27,
00  5 años,2020-04-27,7.0
5  17 años,2020-04-27,2.0
18  49 años,2020-04-27,264.0
50  59 años,2020-04-27,180.0
60  69 años,2020-04-27,172.0
70  79 años,2020-04-27,119.0
80 y más años,2020-04-27,43.0
< 1 años,2020-04-28,
1  4 años,2020-04-28,
5  14 años,2020-04-28,
15  44 años,2020-04-28,
45  64 años,2020-04-28,
65 y más años,2020-04-28,
00  5 años,2020-04-28,7.0
5  17 años,2020-04-28,2.0
18  49 años,2020-04-28,269.0
50  59 años,2020-04-28,182.0
60  69 años,2020-04-28,174.0
70  79 años,2020-04-28,122.0
80 y más años,2020-04-28,43.0
< 1 años,2020-05-02,
1  4 años,2020-05-02,
5  14 años,2020-05-02,
15  44 años,2020-05-02,
45  64 años,2020-05-02,
65 y más años,2020-05-02,
00  5 años,2020-05-02,9.0
5  17 años,2020-05-02,2.0
18  49 años,2020-05-02,339.0
50  59 años,2020-05-02,229.0
60  69 años,2020-05-02,207.0
70  79 años,2020-05-02,140.0
80 y más años,2020-05-02,51.0
< 1 años,2020-05-04,
1  4 años,2020-05-04,
5  14 años,2020-05-04,
15  44 años,2020-05-04,
45  64 años,2020-05-04,
65 y más años,2020-05-04,
00  5 años,2020-05-04,11.0
5  17 años,2020-05-04,2.0
18  49 años,2020-05-04,344.0
50  59 años,2020-05-04,238.0
60  69 años,2020-05-04,215.0
70  79 años,2020-05-04,148.0
80 y más años,2020-05-04,51.0
< 1 años,2020-05-06,
1  4 años,2020-05-06,
5  14 años,2020-05-06,
15  44 años,2020-05-06,
45  64 años,2020-05-06,
65 y más años,2020-05-06,
00  5 años,2020-05-06,11.0
5  17 años,2020-05-06,4.0
18  49 años,2020-05-06,357.0
50  59 años,2020-05-06,245.0
60  69 años,2020-05-06,220.0
70  79 años,2020-05-06,157.0
80 y más años,2020-05-06,56.0
< 1 años,2020-05-08,
1  4 años,2020-05-08,
5  14 años,2020-05-08,
15  44 años,2020-05-08,
45  64 años,2020-05-08,
65 y más años,2020-05-08,
00  5 años,2020-05-08,11.0
5  17 años,2020-05-08,5.0
18  49 años,2020-05-08,402.0
50  59 años,2020-05-08,269.0
60  69 años,2020-05-08,252.0
70  79 años,2020-05-08,172.0
80 y más años,2020-05-08,59.0
